ID;Nome;CPF;Telefone;Valor_Divida;Dias_Atraso;Faixa_Atraso;Status;Valor_Pago;Operador;Data_Vencimento;Data_Pagamento
193;Paulo Henrique Lima;000.000.193-72;(47) 99013-5341;4216.41;3;0-30 dias;PAGO;4216.41;Ana Lima;16/10/2025;18/05/2025
194;Bruno Castro;000.000.194-53;(41) 92404-6632;4322.64;26;0-30 dias;EM ATRASO;0.0;Carlos M.;21/10/2025;
195;Isaura Pires;000.000.195-34;(62) 91568-9226;31050.76;77;61-90 dias;EM ATRASO;0.0;Carlos M.;09/04/2025;
196;Rafael Souza;000.000.196-15;(67) 94308-3422;1854.1;131;90+ dias;PAGO;1854.1;Rafael T.;07/01/2025;23/08/2025
197;Ivone Brito;000.000.197-04;(41) 97790-3451;1897.4;79;61-90 dias;PENDENTE;0.0;Diego R.;26/06/2025;
198;Alexandre Melo;000.000.198-87;(47) 98750-1613;4410.32;73;61-90 dias;PAGO;4410.32;Fernanda S.;18/05/2025;01/09/2025
199;Fernanda Lima;000.000.199-68;(91) 96094-5593;3367.74;88;61-90 dias;PAGO;3367.74;Beatriz K.;02/08/2025;09/01/2026
200;Thiago Nascimento;000.000.200-36;(71) 97671-8937;1175.96;138;90+ dias;NEGOCIANDO;531.22;Carlos M.;15/01/2025;
201;Simone Correia;000.000.201-17;(71) 91944-5087;765.76;62;61-90 dias;PAGO;765.76;Beatriz K.;08/09/2025;10/07/2025
202;Elias Medeiros;000.000.202-06;(47) 96730-6640;3710.42;89;61-90 dias;EM ATRASO;0.0;Rafael T.;24/04/2025;
203;Patrícia Lopes;000.000.203-89;(85) 97709-9409;1849.58;1;0-30 dias;NEGOCIANDO;410.95;Rafael T.;30/12/2025;
204;Rodrigo Machado;000.000.204-60;(62) 96713-8520;4382.92;75;61-90 dias;NEGOCIANDO;1094.38;Beatriz K.;28/11/2025;
205;Claudia Andrade;000.000.205-40;(41) 98892-2045;743.95;132;90+ dias;NEGOCIANDO;342.12;Diego R.;04/11/2025;
206;Adriana Campos;000.000.206-21;(11) 99148-5843;6248.41;60;31-60 dias;PAGO;6248.41;Diego R.;23/11/2025;01/10/2025
207;Eronildo Bezerra;000.000.207-02;(61) 93967-5813;7475.75;65;61-90 dias;PAGO;7475.75;Fernanda S.;17/01/2026;25/04/2025
208;Osmar Pacheco;000.000.208-93;(92) 97089-5269;24053.12;40;31-60 dias;PENDENTE;0.0;Diego R.;15/12/2025;
209;Jailson Cavalcante;000.000.209-74;(21) 93470-3250;1977.3;163;90+ dias;PAGO;1977.3;Rafael T.;10/06/2025;01/04/2025
210;Diego Ferreira Neto;000.000.210-08;(71) 93762-3595;1037.31;16;0-30 dias;PENDENTE;0.0;Fernanda S.;10/01/2026;
211;Carlos Eduardo Santos;000.000.211-99;(48) 94122-1293;1790.87;22;0-30 dias;PAGO;1790.87;Fernanda S.;02/06/2025;24/01/2025
212;Célia Braga;000.000.212-70;(48) 96535-8105;10803.02;134;90+ dias;PAGO;10803.02;Carlos M.;08/01/2026;25/04/2025
213;Renato Vieira;000.000.213-50;(48) 93768-3017;1388.55;53;31-60 dias;PAGO;1388.55;Ana Lima;11/01/2025;05/03/2026
214;Priscila Araújo;000.000.214-31;(62) 93024-9966;2055.83;9;0-30 dias;PENDENTE;0.0;Carlos M.;25/12/2025;
215;Osmar Pacheco;000.000.215-12;(41) 99381-2928;1335.3;34;31-60 dias;PENDENTE;0.0;Ana Lima;24/03/2025;
216;Odete Cardoso;000.000.216-01;(71) 98875-6416;5444.92;8;0-30 dias;PAGO;5444.92;Fernanda S.;21/02/2025;06/01/2026
217;Marcos Rocha;000.000.217-84;(91) 95327-8606;1748.82;113;90+ dias;NEGOCIANDO;797.67;Carlos M.;05/01/2025;
218;Rogério Freitas;000.000.218-65;(65) 95395-2522;4739.23;12;0-30 dias;PENDENTE;0.0;Ana Lima;27/03/2025;
219;Gabriela Ribeiro;000.000.219-46;(21) 93611-2699;1453.27;152;90+ dias;QUEBRADO;632.77;Diego R.;08/03/2025;
220;Graciele Sampaio;000.000.220-80;(65) 91753-2037;44775.43;71;61-90 dias;QUEBRADO;10536.57;Rafael T.;25/09/2025;
221;Larissa Carvalho;000.000.221-60;(81) 98895-6664;18419.54;22;0-30 dias;PENDENTE;0.0;Diego R.;29/08/2025;
222;Rogério Freitas;000.000.222-41;(92) 94946-6421;6902.62;77;61-90 dias;PAGO;6902.62;Fernanda S.;17/08/2025;13/09/2025
223;Felipe Barros;000.000.223-22;(11) 92681-7609;5625.22;14;0-30 dias;PAGO;5625.22;Fernanda S.;22/08/2025;10/12/2025
224;Rosangela Tavares;000.000.224-03;(81) 98445-6439;1417.18;55;31-60 dias;PAGO;1417.18;Fernanda S.;21/11/2025;01/03/2026
225;Odete Cardoso;000.000.225-94;(41) 91750-3689;3125.26;16;0-30 dias;NEGOCIANDO;1208.59;Diego R.;25/02/2025;
226;Rafael Souza;000.000.226-75;(41) 98381-8493;6417.28;108;90+ dias;EM ATRASO;0.0;Carlos M.;04/02/2026;
227;Tatiane Cardoso;000.000.227-56;(51) 92696-7347;953.93;50;31-60 dias;EM ATRASO;0.0;Diego R.;31/05/2025;
228;André Monteiro Neto;000.000.228-37;(92) 94560-4291;1866.03;83;61-90 dias;PENDENTE;0.0;Fernanda S.;23/11/2025;
229;Priscila Araújo;000.000.229-18;(47) 97839-9747;1188.64;145;90+ dias;NEGOCIANDO;195.38;Rafael T.;27/05/2025;
230;Sandra Cunha Jr.;000.000.230-51;(91) 94342-9866;6436.95;2;0-30 dias;PAGO;6436.95;Fernanda S.;23/12/2025;06/02/2026
231;Beatriz Almeida;000.000.231-32;(62) 97825-6122;7162.67;18;0-30 dias;QUEBRADO;1769.87;Beatriz K.;29/10/2025;
232;Fábio Moreira;000.000.232-13;(71) 95819-8353;1549.64;114;90+ dias;PAGO;1549.64;Ana Lima;11/05/2025;10/03/2026
233;Cíntia Barbosa;000.000.233-02;(51) 91654-3518;7058.84;80;61-90 dias;PAGO;7058.84;Beatriz K.;12/06/2025;29/12/2025
234;Patrícia Lopes;000.000.234-85;(48) 92117-9276;893.99;44;31-60 dias;EM ATRASO;0.0;Beatriz K.;13/11/2025;
235;Isaura Pires;000.000.235-66;(11) 92879-6668;19603.37;89;61-90 dias;EM ATRASO;0.0;Fernanda S.;17/07/2025;
236;Murilo Bezerra;000.000.236-47;(11) 99468-7143;803.94;56;31-60 dias;EM ATRASO;0.0;Beatriz K.;31/01/2026;
237;Lurdes Xavier Jr.;000.000.237-28;(71) 94492-7950;1793.68;159;90+ dias;QUEBRADO;196.41;Fernanda S.;03/01/2026;
238;Mariana Costa Jr.;000.000.238-09;(61) 95127-2154;1066.91;57;31-60 dias;PAGO;1066.91;Ana Lima;13/11/2025;04/01/2026
239;Rafael Souza;000.000.239-90;(31) 96860-9238;6591.65;40;31-60 dias;PENDENTE;0.0;Carlos M.;01/10/2025;
240;André Monteiro;000.000.240-23;(91) 93360-5883;1914.09;59;31-60 dias;PENDENTE;0.0;Beatriz K.;03/10/2025;
241;Juliana Pereira;000.000.241-04;(98) 94469-7760;5701.31;29;0-30 dias;PENDENTE;0.0;Beatriz K.;28/01/2025;
242;Valdeci Nogueira;000.000.242-95;(31) 95762-2103;2769.29;34;31-60 dias;EM ATRASO;0.0;Diego R.;12/06/2025;
243;Elias Medeiros;000.000.243-76;(91) 93496-6971;20576.88;26;0-30 dias;PAGO;20576.88;Diego R.;19/06/2025;11/01/2026
244;Valdeci Nogueira;000.000.244-57;(91) 98978-2783;17156.51;101;90+ dias;PAGO;17156.51;Beatriz K.;10/01/2025;08/02/2025
245;João Pedro Oliveira;000.000.245-38;(62) 94485-1600;4194.91;39;31-60 dias;PAGO;4194.91;Beatriz K.;14/09/2025;26/08/2025
246;Thiago Nascimento;000.000.246-19;(48) 91173-4913;4677.32;28;0-30 dias;EM ATRASO;0.0;Rafael T.;12/01/2026;
247;Ermando Leite;000.000.247-08;(21) 94585-8989;21454.83;8;0-30 dias;EM ATRASO;0.0;Rafael T.;21/01/2025;
248;Gustavo Borges Neto;000.000.248-80;(85) 99918-3848;1826.99;73;61-90 dias;PENDENTE;0.0;Diego R.;26/06/2025;
249;Ermando Leite;000.000.249-61;(11) 99222-3276;10675.07;36;31-60 dias;QUEBRADO;2837.92;Rafael T.;19/06/2025;
250;Priscila Araújo;000.000.250-03;(47) 98848-4452;373.35;19;0-30 dias;PENDENTE;0.0;Carlos M.;29/01/2025;
251;Alexandre Melo;000.000.251-86;(48) 97642-1305;3299.56;175;90+ dias;PAGO;3299.56;Carlos M.;04/11/2025;30/07/2025
252;Leandro Pinto;000.000.252-67;(48) 95333-3747;4269.27;71;61-90 dias;EM ATRASO;0.0;Diego R.;17/12/2025;
253;Bruno Castro;000.000.253-48;(61) 98796-1639;458.42;78;61-90 dias;EM ATRASO;0.0;Rafael T.;14/12/2025;
254;Nilton Vasconcelos;000.000.254-29;(98) 91711-9680;5534.29;86;61-90 dias;PAGO;5534.29;Diego R.;11/05/2025;10/03/2025
255;Marcos Rocha;000.000.255-00;(31) 95641-9908;5467.92;67;61-90 dias;QUEBRADO;1237.72;Ana Lima;05/07/2025;
256;Bruno Castro;000.000.256-90;(85) 95281-9783;6529.83;49;31-60 dias;PENDENTE;0.0;Diego R.;12/10/2025;
257;Sandra Cunha;000.000.257-71;(98) 97522-3262;1059.21;82;61-90 dias;PAGO;1059.21;Rafael T.;11/11/2025;09/10/2025
258;Beatriz Almeida;000.000.258-52;(11) 92492-3381;18353.49;16;0-30 dias;PENDENTE;0.0;Beatriz K.;02/12/2025;
259;Claudia Andrade;000.000.259-33;(21) 93871-9099;3168.48;175;90+ dias;PENDENTE;0.0;Ana Lima;12/12/2025;
260;Rosangela Tavares;000.000.260-77;(11) 93579-2422;8261.23;73;61-90 dias;PENDENTE;0.0;Beatriz K.;07/01/2026;
261;Letícia Vilaça;000.000.261-58;(85) 94707-4187;597.56;15;0-30 dias;PAGO;597.56;Beatriz K.;12/05/2025;20/09/2025
262;Salvador Borba;000.000.262-39;(65) 97178-8923;1080.04;134;90+ dias;PAGO;1080.04;Rafael T.;23/04/2025;21/11/2025
263;Marcos Rocha;000.000.263-10;(67) 96785-9462;21958.27;18;0-30 dias;PENDENTE;0.0;Carlos M.;01/07/2025;
264;Salvador Borba;000.000.264-09;(71) 99175-4271;644.7;8;0-30 dias;EM ATRASO;0.0;Rafael T.;13/12/2025;
265;Aurélio Bastos;000.000.265-81;(21) 98901-7081;1134.37;164;90+ dias;PENDENTE;0.0;Beatriz K.;28/01/2025;
266;Edna Guimarães;000.000.266-62;(21) 99232-6689;5109.23;58;31-60 dias;PENDENTE;0.0;Fernanda S.;21/02/2025;
267;Rosangela Tavares;000.000.267-43;(85) 94066-9987;3103.48;151;90+ dias;PENDENTE;0.0;Fernanda S.;25/07/2025;
268;Elias Medeiros;000.000.268-24;(51) 94744-2636;3176.38;86;61-90 dias;PAGO;3176.38;Carlos M.;13/09/2025;04/08/2025
269;Ivone Brito;000.000.269-05;(92) 98972-5915;11662.94;9;0-30 dias;PAGO;11662.94;Fernanda S.;21/06/2025;17/01/2026
270;Rosangela Tavares;000.000.270-49;(85) 96638-1324;5455.37;177;90+ dias;PENDENTE;0.0;Beatriz K.;11/12/2025;
271;Graciele Sampaio;000.000.271-20;(65) 92284-7243;5843.48;171;90+ dias;PENDENTE;0.0;Ana Lima;06/02/2025;
272;Natália Mendes;000.000.272-00;(92) 96191-5773;6685.84;39;31-60 dias;PENDENTE;0.0;Carlos M.;27/03/2025;
273;Fernanda Lima Filho;000.000.273-91;(85) 92311-4450;5290.6;6;0-30 dias;PAGO;5290.6;Carlos M.;13/11/2025;15/05/2025
274;Juliana Pereira;000.000.274-72;(62) 96068-4757;8485.71;70;61-90 dias;PAGO;8485.71;Beatriz K.;28/08/2025;01/09/2025
275;Débora Cavalcante;000.000.275-53;(51) 99835-3900;18876.37;75;61-90 dias;PENDENTE;0.0;Ana Lima;27/04/2025;
276;Sueli Coelho;000.000.276-34;(67) 95256-3551;15976.37;157;90+ dias;EM ATRASO;0.0;Fernanda S.;02/09/2025;
277;Carlos Eduardo Santos;000.000.277-15;(91) 94788-1118;20153.95;143;90+ dias;PAGO;20153.95;Rafael T.;05/08/2025;10/02/2025
278;Cristiane Azevedo;000.000.278-04;(85) 95664-9715;610.09;115;90+ dias;PENDENTE;0.0;Fernanda S.;07/04/2025;
279;Fernanda Lima;000.000.279-87;(11) 94046-2675;695.78;65;61-90 dias;NEGOCIANDO;347.32;Rafael T.;26/08/2025;
280;Mariana Costa;000.000.280-10;(51) 91918-5366;626.73;43;31-60 dias;NEGOCIANDO;125.09;Diego R.;30/01/2026;
281;Wellington Moura;000.000.281-00;(21) 94263-8550;654.36;64;61-90 dias;QUEBRADO;260.36;Beatriz K.;09/10/2025;
282;Felipe Barros;000.000.282-82;(91) 94255-6905;491.98;29;0-30 dias;PAGO;491.98;Ana Lima;05/05/2025;09/02/2026
283;Rafael Souza;000.000.283-63;(47) 93539-7084;1466.11;33;31-60 dias;PENDENTE;0.0;Rafael T.;20/03/2025;
284;Lurdes Xavier;000.000.284-44;(51) 98992-4812;1669.39;86;61-90 dias;PAGO;1669.39;Diego R.;21/01/2025;06/04/2026
285;Sueli Coelho;000.000.285-25;(47) 94109-4057;1713.29;42;31-60 dias;PAGO;1713.29;Fernanda S.;05/10/2025;15/05/2025
286;Célia Braga;000.000.286-06;(61) 91306-6965;5233.74;68;61-90 dias;PENDENTE;0.0;Fernanda S.;10/11/2025;
287;Gustavo Borges;000.000.287-97;(92) 92809-2577;520.62;96;90+ dias;PENDENTE;0.0;Rafael T.;18/07/2025;
288;Graciele Sampaio;000.000.288-78;(85) 91804-7002;5934.5;8;0-30 dias;PENDENTE;0.0;Beatriz K.;04/07/2025;
289;Osmar Pacheco;000.000.289-59;(21) 95355-9667;667.03;2;0-30 dias;PAGO;667.03;Beatriz K.;08/05/2025;03/12/2025
290;Tatiane Cardoso;000.000.290-92;(67) 92728-6864;6754.77;45;31-60 dias;PENDENTE;0.0;Diego R.;04/11/2025;
291;Eronildo Bezerra;000.000.291-73;(92) 97090-7755;1257.35;74;61-90 dias;EM ATRASO;0.0;Diego R.;18/08/2025;
292;Ana Paula Silva;000.000.292-54;(91) 91267-9480;7134.32;59;31-60 dias;PAGO;7134.32;Beatriz K.;19/09/2025;11/10/2025
293;Salvador Borba;000.000.293-35;(51) 92544-1618;3499.14;42;31-60 dias;PENDENTE;0.0;Rafael T.;22/04/2025;
294;Lucas Martins;000.000.294-16;(47) 93832-8999;5571.39;83;61-90 dias;PAGO;5571.39;Fernanda S.;30/01/2026;29/01/2025
295;Letícia Vilaça;000.000.295-05;(67) 97824-2974;5803.32;174;90+ dias;PAGO;5803.32;Fernanda S.;18/03/2025;17/10/2025
296;Dilma Fonseca;000.000.296-88;(51) 91827-7436;677.55;55;31-60 dias;PENDENTE;0.0;Beatriz K.;26/01/2025;
297;Gilson Fontes;000.000.297-69;(62) 99221-8118;44640.87;53;31-60 dias;PENDENTE;0.0;Ana Lima;05/05/2025;
298;Débora Cavalcante;000.000.298-40;(92) 92467-2843;35668.66;44;31-60 dias;PENDENTE;0.0;Beatriz K.;15/08/2025;
299;Vanessa Teixeira;000.000.299-20;(81) 94271-7124;23754.4;5;0-30 dias;PAGO;23754.4;Fernanda S.;26/02/2025;22/12/2025
300;Elias Medeiros;000.000.300-07;(92) 94424-9814;5738.25;78;61-90 dias;PENDENTE;0.0;Beatriz K.;06/12/2025;
301;Rafael Souza;000.000.301-80;(21) 95653-4288;14606.97;26;0-30 dias;QUEBRADO;6510.52;Fernanda S.;10/01/2025;
302;Wanderley Queiroz;000.000.302-60;(62) 99331-2631;616.91;41;31-60 dias;PAGO;616.91;Fernanda S.;06/06/2025;29/09/2025
303;Graciele Sampaio;000.000.303-41;(61) 91301-6681;1993.19;42;31-60 dias;PENDENTE;0.0;Beatriz K.;16/01/2025;
304;Rodrigo Machado;000.000.304-22;(92) 97436-3248;1341.16;157;90+ dias;EM ATRASO;0.0;Fernanda S.;06/11/2025;
305;Elias Medeiros;000.000.305-03;(71) 93270-9869;59849.0;56;31-60 dias;PAGO;59849.0;Carlos M.;17/10/2025;23/04/2026
306;Adriana Campos Jr.;000.000.306-94;(61) 96203-3384;15531.08;131;90+ dias;EM ATRASO;0.0;Carlos M.;21/05/2025;
307;Simone Correia Filho;000.000.307-75;(11) 95372-4783;6678.96;20;0-30 dias;PENDENTE;0.0;Diego R.;05/04/2025;
308;Graciele Sampaio;000.000.308-56;(61) 94166-4707;1915.34;92;90+ dias;PAGO;1915.34;Beatriz K.;13/08/2025;04/05/2026
309;Graciele Sampaio;000.000.309-37;(65) 95043-8005;3877.38;62;61-90 dias;PENDENTE;0.0;Ana Lima;27/12/2025;
310;Ivone Brito;000.000.310-70;(21) 95025-9498;1177.42;84;61-90 dias;PAGO;1177.42;Diego R.;27/05/2025;28/02/2026
311;Rogério Freitas;000.000.311-51;(21) 99470-3330;3078.63;15;0-30 dias;PENDENTE;0.0;Diego R.;15/06/2025;
312;João Pedro Oliveira;000.000.312-32;(71) 98449-2477;1654.03;174;90+ dias;PENDENTE;0.0;Rafael T.;26/09/2025;
313;Wanderley Queiroz;000.000.313-13;(48) 93619-7204;1261.34;112;90+ dias;QUEBRADO;337.83;Rafael T.;08/06/2025;
314;Elias Medeiros;000.000.314-02;(61) 92926-3155;4991.85;7;0-30 dias;PAGO;4991.85;Diego R.;01/09/2025;04/12/2025
315;Neusa Farias;000.000.315-85;(11) 95009-9967;652.98;162;90+ dias;PAGO;652.98;Fernanda S.;05/11/2025;23/10/2025
316;Cíntia Barbosa;000.000.316-66;(21) 92784-7831;5569.81;82;61-90 dias;PENDENTE;0.0;Ana Lima;19/01/2025;
317;Elaine Ramos;000.000.317-47;(62) 92108-8001;507.44;48;31-60 dias;PAGO;507.44;Beatriz K.;25/02/2025;30/01/2025
318;Jailson Cavalcante;000.000.318-28;(47) 95705-7996;4123.12;58;31-60 dias;PENDENTE;0.0;Carlos M.;10/09/2025;
319;Marcos Rocha;000.000.319-09;(71) 91025-2936;652.46;81;61-90 dias;NEGOCIANDO;120.66;Carlos M.;24/11/2025;
320;Claudia Andrade;000.000.320-42;(31) 96042-5919;17671.67;17;0-30 dias;PAGO;17671.67;Rafael T.;23/06/2025;03/03/2026
321;Ermando Leite;000.000.321-23;(21) 93224-8888;6885.0;159;90+ dias;PENDENTE;0.0;Fernanda S.;14/12/2025;
322;Percival Moura;000.000.322-04;(71) 96434-6793;937.91;35;31-60 dias;PAGO;937.91;Fernanda S.;20/01/2026;05/02/2026
323;Adriana Campos;000.000.323-95;(85) 97780-2422;3296.84;59;31-60 dias;NEGOCIANDO;1534.16;Beatriz K.;16/08/2025;
324;João Pedro Oliveira;000.000.324-76;(48) 93524-4116;6616.89;60;31-60 dias;EM ATRASO;0.0;Rafael T.;16/04/2025;
325;Mariana Costa;000.000.325-57;(48) 92897-1067;3999.74;178;90+ dias;QUEBRADO;435.94;Fernanda S.;24/01/2026;
326;Aline Nunes;000.000.326-38;(71) 95695-5532;2944.98;85;61-90 dias;PAGO;2944.98;Beatriz K.;29/06/2025;05/10/2025
327;Adriana Campos;000.000.327-19;(91) 95011-3806;386.23;40;31-60 dias;PAGO;386.23;Rafael T.;02/04/2025;20/07/2025
328;Elias Medeiros;000.000.328-08;(91) 96444-4246;17652.42;23;0-30 dias;QUEBRADO;2452.01;Rafael T.;08/06/2025;
329;Valdeci Nogueira;000.000.329-80;(81) 93354-5227;1430.81;73;61-90 dias;PENDENTE;0.0;Diego R.;29/06/2025;
330;Valdeci Nogueira;000.000.330-14;(91) 96711-3087;1404.07;34;31-60 dias;PENDENTE;0.0;Carlos M.;08/10/2025;
331;Ermando Leite;000.000.331-03;(92) 94411-8063;5975.67;44;31-60 dias;PENDENTE;0.0;Beatriz K.;31/10/2025;
332;Valdeci Nogueira;000.000.332-86;(41) 98294-3886;6628.06;10;0-30 dias;PAGO;6628.06;Beatriz K.;13/03/2025;23/02/2026
333;Ana Paula Silva;000.000.333-67;(51) 98421-9704;7264.55;43;31-60 dias;EM ATRASO;0.0;Rafael T.;11/08/2025;
334;Letícia Vilaça;000.000.334-48;(11) 99362-7622;44601.06;28;0-30 dias;PAGO;44601.06;Carlos M.;16/01/2025;25/05/2025
335;Nilton Vasconcelos;000.000.335-29;(62) 96212-7271;594.8;13;0-30 dias;PENDENTE;0.0;Rafael T.;28/05/2025;
336;Gabriela Ribeiro Jr.;000.000.336-00;(11) 93359-8974;23190.9;22;0-30 dias;PENDENTE;0.0;Beatriz K.;21/08/2025;
337;Edna Guimarães;000.000.337-90;(65) 97303-6821;20106.21;8;0-30 dias;PENDENTE;0.0;Ana Lima;18/01/2025;
338;Quesia Dantas;000.000.338-71;(98) 92854-8889;15903.92;158;90+ dias;PAGO;15903.92;Rafael T.;19/11/2025;30/08/2025
339;Lucas Martins;000.000.339-52;(91) 91864-6628;37352.01;55;31-60 dias;PAGO;37352.01;Rafael T.;19/01/2025;27/03/2025
340;Elaine Ramos;000.000.340-96;(85) 92006-8752;795.98;79;61-90 dias;PAGO;795.98;Fernanda S.;23/05/2025;06/02/2026
341;Gabriela Ribeiro;000.000.341-77;(85) 95209-1232;5954.93;113;90+ dias;PAGO;5954.93;Ana Lima;28/09/2025;03/04/2025
342;Marcelo Duarte;000.000.342-58;(51) 93525-9125;1048.31;25;0-30 dias;PENDENTE;0.0;Ana Lima;22/01/2026;
343;Beatriz Almeida;000.000.343-39;(62) 98802-5937;1461.97;16;0-30 dias;PAGO;1461.97;Diego R.;18/08/2025;13/02/2026
344;Adriana Campos;000.000.344-10;(21) 92595-9704;1408.51;88;61-90 dias;PENDENTE;0.0;Rafael T.;25/08/2025;
345;Cristiane Azevedo;000.000.345-09;(71) 99518-6528;1443.76;53;31-60 dias;PENDENTE;0.0;Rafael T.;23/04/2025;
346;Claudia Andrade;000.000.346-81;(21) 91388-2506;1384.74;118;90+ dias;QUEBRADO;636.92;Carlos M.;17/10/2025;
347;Priscila Araújo;000.000.347-62;(85) 95826-8650;6616.15;60;31-60 dias;PAGO;6616.15;Fernanda S.;07/02/2025;04/02/2026
348;Diego Ferreira;000.000.348-43;(92) 91984-5230;1965.02;27;0-30 dias;PENDENTE;0.0;Carlos M.;09/08/2025;
349;Mateus Gomes;000.000.349-24;(85) 92692-1571;331.9;79;61-90 dias;PENDENTE;0.0;Rafael T.;19/03/2025;
350;Cíntia Barbosa;000.000.350-68;(11) 99444-9039;7724.93;44;31-60 dias;EM ATRASO;0.0;Fernanda S.;03/07/2025;
351;Elaine Ramos;000.000.351-49;(31) 96985-9759;3218.72;63;61-90 dias;PAGO;3218.72;Rafael T.;24/02/2025;19/07/2025
352;Eronildo Bezerra;000.000.352-20;(65) 94104-3292;42488.95;2;0-30 dias;NEGOCIANDO;20676.38;Ana Lima;09/01/2025;
353;Marcelo Duarte Jr.;000.000.353-00;(62) 92936-4468;10532.21;51;31-60 dias;PAGO;10532.21;Rafael T.;08/09/2025;14/03/2025
354;Fernanda Lima;000.000.354-91;(21) 94976-3138;1695.26;97;90+ dias;NEGOCIANDO;246.95;Beatriz K.;01/11/2025;
355;Patrícia Lopes Filho;000.000.355-72;(67) 96527-7586;846.7;34;31-60 dias;PAGO;846.7;Diego R.;14/03/2025;21/05/2025
356;Rogério Freitas;000.000.356-53;(61) 98187-4991;5674.65;30;0-30 dias;PAGO;5674.65;Rafael T.;15/02/2025;02/04/2025
357;Claudia Andrade;000.000.357-34;(47) 93079-4377;3047.29;51;31-60 dias;PENDENTE;0.0;Rafael T.;15/02/2025;
358;Elaine Ramos;000.000.358-15;(11) 94860-4144;5238.34;47;31-60 dias;PAGO;5238.34;Carlos M.;27/02/2025;10/04/2025
359;Isaura Pires;000.000.359-04;(61) 91706-1885;6830.92;42;31-60 dias;EM ATRASO;0.0;Carlos M.;01/04/2025;
360;João Pedro Oliveira;000.000.360-30;(41) 92160-4855;637.88;45;31-60 dias;PAGO;637.88;Carlos M.;31/07/2025;13/01/2026
361;Joelma Reis;000.000.361-10;(31) 98716-8936;1336.04;2;0-30 dias;PENDENTE;0.0;Carlos M.;19/05/2025;
362;Cíntia Barbosa Jr.;000.000.362-00;(85) 93236-2820;7318.45;28;0-30 dias;PENDENTE;0.0;Beatriz K.;29/03/2025;
363;Odete Cardoso;000.000.363-82;(31) 97745-9548;1086.7;58;31-60 dias;PENDENTE;0.0;Beatriz K.;24/04/2025;
364;Bruno Castro;000.000.364-63;(11) 97844-1724;4875.62;2;0-30 dias;PAGO;4875.62;Ana Lima;21/01/2026;13/10/2025
365;Neusa Farias;000.000.365-44;(51) 96872-5846;818.22;51;31-60 dias;PENDENTE;0.0;Carlos M.;31/01/2026;
366;Gilson Fontes;000.000.366-25;(98) 98607-1022;15240.34;140;90+ dias;PENDENTE;0.0;Rafael T.;17/04/2025;
367;Juliana Pereira;000.000.367-06;(92) 91898-9433;5714.8;30;0-30 dias;PAGO;5714.8;Carlos M.;01/02/2026;30/12/2025
368;André Monteiro;000.000.368-97;(81) 99841-2860;20935.06;165;90+ dias;PENDENTE;0.0;Fernanda S.;05/08/2025;
369;Beatriz Almeida Neto;000.000.369-78;(65) 98966-9215;5197.13;64;61-90 dias;EM ATRASO;0.0;Carlos M.;03/02/2025;
370;Célia Braga;000.000.370-01;(61) 95724-2260;1143.76;69;61-90 dias;EM ATRASO;0.0;Carlos M.;05/10/2025;
371;Isaura Pires;000.000.371-92;(65) 91351-5776;4015.26;120;90+ dias;PENDENTE;0.0;Rafael T.;07/12/2025;
372;Jailson Cavalcante;000.000.372-73;(65) 98503-5982;742.01;19;0-30 dias;PENDENTE;0.0;Carlos M.;22/08/2025;
373;Natália Mendes;000.000.373-54;(91) 93986-3873;574.13;83;61-90 dias;PENDENTE;0.0;Beatriz K.;16/04/2025;
374;Mariana Costa;000.000.374-35;(98) 93423-7109;4427.37;48;31-60 dias;PAGO;4427.37;Beatriz K.;14/01/2026;03/01/2025
375;Dilma Fonseca;000.000.375-16;(91) 98764-5748;7533.75;82;61-90 dias;PAGO;7533.75;Ana Lima;10/10/2025;14/12/2025
376;Paulo Henrique Lima Filho;000.000.376-05;(65) 96855-2515;1194.94;11;0-30 dias;NEGOCIANDO;443.11;Beatriz K.;14/02/2025;
377;Edilene Carmo;000.000.377-88;(92) 99381-1918;1751.47;30;0-30 dias;EM ATRASO;0.0;Ana Lima;15/10/2025;
378;Renato Vieira;000.000.378-69;(65) 97809-8249;1004.13;86;61-90 dias;EM ATRASO;0.0;Fernanda S.;26/09/2025;
379;Camila Rodrigues;000.000.379-40;(62) 92449-1108;1244.88;51;31-60 dias;PENDENTE;0.0;Diego R.;11/10/2025;
380;Rafael Souza;000.000.380-83;(91) 95979-9095;3576.06;18;0-30 dias;QUEBRADO;1634.53;Carlos M.;02/08/2025;
381;Graciele Sampaio;000.000.381-64;(81) 91466-2955;4882.92;76;61-90 dias;EM ATRASO;0.0;Fernanda S.;03/03/2025;
382;Humberto Rezende;000.000.382-45;(11) 95252-3668;4144.31;32;31-60 dias;EM ATRASO;0.0;Fernanda S.;25/01/2025;
383;Sérgio Figueiredo;000.000.383-26;(31) 99419-4175;3935.64;66;61-90 dias;PAGO;3935.64;Fernanda S.;19/12/2025;24/12/2025
384;Larissa Carvalho;000.000.384-07;(98) 93354-1211;7525.44;70;61-90 dias;NEGOCIANDO;3145.96;Beatriz K.;14/10/2025;
385;Jailson Cavalcante;000.000.385-98;(41) 97837-8544;14163.67;107;90+ dias;PENDENTE;0.0;Fernanda S.;26/01/2026;
